"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2018","4.09","3.94","4.10","3.89","729.56M","4.07%"
"11/29/2018","3.93","4.00","4.04","3.90","549.17M","-1.75%"
"11/28/2018","4.00","3.96","4.01","3.83","804.53M","4.17%"
"11/27/2018","3.84","3.80","3.93","3.76","738.06M","0.26%"
"11/26/2018","3.83","3.75","3.84","3.66","814.83M","5.80%"
"11/23/2018","3.62","3.58","3.74","3.57","411.97M","0.00%"
"11/21/2018","3.62","3.87","3.88","3.59","1.03B","-2.95%"
"11/20/2018","3.73","3.35","3.86","3.33","1.69B","3.04%"
"11/19/2018","3.62","4.04","4.05","3.62","1.70B","-11.92%"
"11/16/2018","4.11","4.08","4.27","4.04","1.96B","-18.77%"
"11/15/2018","5.06","4.92","5.13","4.89","840.71M","2.64%"
"11/14/2018","4.93","5.16","5.17","4.82","526.58M","-1.00%"
"11/13/2018","4.98","4.84","5.11","4.83","644.71M","5.06%"
"11/12/2018","4.74","5.05","5.07","4.72","617.12M","-7.78%"
"11/09/2018","5.14","5.06","5.23","5.03","413.24M","-0.19%"
"11/08/2018","5.15","5.29","5.29","5.10","511.35M","-3.56%"
"11/07/2018","5.34","5.34","5.44","5.28","483.81M","1.14%"
"11/06/2018","5.28","5.29","5.37","5.24","299.01M","-0.19%"
"11/05/2018","5.29","5.36","5.38","5.13","379.33M","-1.49%"
"11/02/2018","5.37","5.44","5.55","5.26","452.96M","-1.47%"
"11/01/2018","5.45","5.31","5.46","5.18","566.53M","3.42%"
"10/31/2018","5.27","5.24","5.31","5.10","745.77M","3.74%"
"10/30/2018","5.08","4.66","5.08","4.64","807.19M","9.48%"
"10/29/2018","4.64","5.10","5.10","4.40","758.02M","-6.45%"
"10/26/2018","4.96","4.96","5.12","4.83","664.79M","-4.62%"
"10/25/2018","5.20","4.89","5.24","4.84","951.72M","4.21%"
"10/24/2018","4.99","5.49","5.53","4.97","884.29M","-9.76%"
"10/23/2018","5.53","5.51","5.60","5.42","626.44M","-4.33%"
"10/22/2018","5.78","5.78","5.88","5.68","368.84M","0.87%"
"10/19/2018","5.73","6.04","6.06","5.69","613.61M","-4.34%"
"10/18/2018","5.99","6.15","6.19","5.93","524.02M","-1.48%"
"10/17/2018","6.08","6.21","6.25","6.03","329.67M","-1.14%"
"10/16/2018","6.15","6.00","6.16","5.95","408.71M","4.59%"
"10/15/2018","5.88","6.15","6.15","5.88","449.76M","-4.55%"
"10/12/2018","6.16","6.14","6.24","5.99","608.24M","4.76%"
"10/11/2018","5.88","6.05","6.19","5.86","725.44M","-4.23%"
"10/10/2018","6.14","6.53","6.58","6.14","684.94M","-7.53%"
"10/09/2018","6.64","6.62","6.72","6.57","273.50M","0.00%"
"10/08/2018","6.64","6.66","6.78","6.50","408.61M","-1.63%"
"10/05/2018","6.75","6.96","7.02","6.69","426.63M","-3.30%"
"10/04/2018","6.98","7.13","7.16","6.90","391.22M","-2.65%"
"10/03/2018","7.17","7.23","7.24","7.06","320.55M","0.14%"
"10/02/2018","7.16","7.21","7.32","7.14","383.96M","-0.97%"
"10/01/2018","7.23","7.10","7.30","7.07","622.06M","2.84%"
"09/28/2018","7.03","6.82","7.05","6.79","709.40M","5.24%"
"09/27/2018","6.68","6.71","6.73","6.65","214.43M","0.15%"
"09/26/2018","6.67","6.72","6.76","6.66","268.55M","-0.60%"
"09/25/2018","6.71","6.71","6.74","6.62","280.39M","1.05%"
"09/24/2018","6.64","6.55","6.65","6.47","293.91M","0.76%"
"09/21/2018","6.59","6.67","6.71","6.55","435.13M","-1.05%"
"09/20/2018","6.66","6.68","6.72","6.60","430.58M","-2.06%"
